"ID","Nodes_ID","Language","Pertains_To","Description"
"2","0","DE","settlement","Erstmals in einer Schenkungsurkunde Ottos I. an das Moritzkloster Magdeburg erwähnt. "
"4","1","DE","settlement","Der Ursprung Northeims wird in der Frankenzeit vermutet. Ersterwähnung um 780-802."
"8","6","DE","settlement","Erstmals 949 erwähnt. Im 16. Jahrhundert zum Flecken erhoben."
"10","7","DE","settlement","Erstmals 966 als 'Uuinide' erwähnt. "
"12","10","DE","settlement","Erstmals zwischen 822 und 826 erwähnt. Es gab hier eine Wasserburg der Herzöge von Braunschweig, erstmals 1294 erwähnt."
"14","12","DE","settlement","1059 erstmals erwähnt."
"16","13","DE","settlement","Erstmals 1093 erwähnt."
"18","14","DE","settlement","Erstmals erwähnt wurde der Ort 1093."
"20","15","DE","settlement","Erstmals wurde die Siedlung zwischen 826 und 876 erwähnt."
"22","16","DE","settlement","Erstmals 970 erwähnt."
"24","18","DE","settlement","Eine ältere Siedlung Altmünden westlich der Fulda wird erstmals um 800 erwähnt, die neuere Siedlung auf dem gegenüberliegenden Ufer 1049."
"26","23","DE","settlement","Erstmals 1004 erwähnt."
"28","24","DE","settlement","Erstmals zwischen 826 und 876 erwähnt."
"30","25","DE","settlement","Das Vorwerk entstand im 17. Jh. in der Nähe der im 15. Jh. wüst gefallenen Siedlung Heistendal. Diese wurde bereits 1251 erwähnt."
"32","26","DE","settlement","Die Siedlung wurde 960 erstmals erwähnt. Eine Burg ist erstmals im 13. Jh. nachgewiesen; die Martinskirche 1271."
"34","27","DE","settlement","Erstmals 990 erwähnt."
"36","29","DE","settlement","Die Siedlung wurde erstmals 990 erwähnt."
"38","30","DE","settlement","Nordöstlich des heutigen Göttinger Stadtteils Grone an der Straße nach Harste lagen eine Königspfalz und eine zugehörige Siedlung namens Burggrone, die 915 bzw. 1101 erstmals erwähnt wurden. Die Burg wurde 1294 und 1387 von Göttinger Bürgern zerstört, Burggrone fiel darauf wüst. Das spätere Dorf und heutige Stadtteil Grone geht zurück auf einen zur Pfalz gehörenden Wirtschaftshof (Altgrone) und wurde 1118-1137 das erste Mal erwähnt."
"40","31","DE","settlement","Warte der Landwehr von Göttingen, auf einer Erhebung etwas nördlich von der Straße gelegen. Der Weg war mit einem Schlagbaum versehen."
"42","32","DE","settlement","Erstmals 1239 erwähnt."
"44","33","DE","settlement","1303 zum ersten Mal erwähnt."
"46","34","DE","settlement","Erstmals 1311 erwähnt."
"48","35","DE","settlement","Womöglich enstand eine Siedlung an einer im 9. Jahrhundert gegründeten Martinskirche. Erstmals erwähnt wurde Dransfeld 960."
"50","36","DE","settlement","Erstmals erwähnt zwischen 1015 und 1036. Im Mittelalter ein Dorf, heutzutage nur ein Gut. Es ist unklar ob das Dorf nur teilweise wüstgefallen ist, oder ob es sich um eine totale Wüstung handelt und das Gut erst später entstand."
"52","37","DE","settlement","Die Siedlung Scheden wurde erstmals 1046 erwähnt und war in Nieder- und Oberscheden verteilt, wovon ersterer erstmals 1317 separat genannt wurde. In neuerer Zeit sind beide Ortsteile zusammengewachsen."
"54","38","DE","settlement","Erstmals im 8./9. Jahrhundert erwähnt. 1345 wird erwähnt, dass hier ein verschließbarer Schlagbaum angelegt werden soll, als Teil der Mündener Landwehr."
"56","40","DE","settlement","Erstmals 966 erwähnt."
"58","41","DE","settlement","Erstmals erwähnt wurde Holtensen um die Mitte des 13. Jahrhunderts."
