"ID","Comments"
"12","According to Le Coq's map of Westfalia (1796-1813), the road between Heede and Rhede was only usable in dry weather conditions."
"14","According to a 1690 report, the road between Salzwedel and Lübbow was only a footpath, and it was decided that the road was to be developed and a bridge had to be built to make it suitable for heavier traffic. However, it is unclear whether this observation reflects the situation in the preceding centuries, or if the road was once much used, but had deteriorated in the meantime: there is evidence for both possibilities. In any case, the waterway between Salzwedel and Lüchow provided a viable alternative to the land route."
"16","Presumably, the road between Siek and Sandesneben via Schönberg became only usual for transit traffic in the 17th century; in the Middle Ages, most of the traffic must have taken the route via the toll station Trittau."
"18","On the Kurhannoversche Landesaufnahme (1764-1784), the road between Escheburg and Schnakenbek via Geesthacht is indicated as the post road in winter between Hamburg and Lauenburg. In summer, the post took a more northerly road via Fahrendorf and Krukow, circumventing Geesthacht."
"20","The road between Iprump and Dingstede via Ganderkesee, circumventing Delmenhorst, was the main road before 1311, and was also used in later times in case of inundations of the road through Delmenhorst."
"22","According to Aulepp (1975) a road used during the High Middle Ages to reach Mühlhausen. According to Born (2017), this is the Zellscher Marktstieg. A wooden bridge led across the Mühlhausen ditch ('Mühlhäuser Landgraben') and it was originally meant for traffic on foot. In 1616 illegal broadening of the path was detected, which led to a destruction of the wooden bridges across the Mühlhausen ditch in 1621 (Born 2017, 22)."
"24","The road gained more significance in the Late Middle Ages."
"26","This road has its greatest significance in the High and Late Middle Ages. In 1609 it is mentioned as the proper road of safe conduct to Dingelstädt."
"28","Road of safe conduct from 1575."
"30","This part of the road is reconstructed with Eberhardt (1982), who says that the western route to Tennstedt bacame marshy up until most recent times, or was impassable because of a body of water. In the 15th century, this road from Eisenach to Weißensee was blocked in order to force traffic to Erfurt."
"32","In the 15th century, this road from Eisenach to Weißensee was blocked in order to force traffic to Erfurt."
"34","According to Bruns-Weczerka (1967) this road was only used as a main road since the 16th century. Since 1450 a dam existed between Edersleben and Oberröblingen, which facilitated crossing the Helme and made this route more attractive."
"36","""Roter Steiger""; according to Nagel (2001) ascent into the Harz from Quedlinburg."
"38","Historical connection between Quedlinburg and Hoym via deserted village Groß Orden according to Nagel (2001)."
"40","Flood-free detour from Halle to Merseburg."
"42","The toll station in Altengottern shows that the old Weinberg between Mühlhausen and Langensalza was circumvented to the north until the 15th century."
"44","According to Bahn (2002) this is the earlier (early medieval) course of the via regia from Erfurt to Naumburg."
"46","This part of the road originates in the 19th century and is part of the 'modern' via regia."
"48","Main course of the via regia probably since the 13th century."
"50","This road is already mentioned in 1414 as the ""Jew's road""."
"52","Segment called ""Weinstraße"" or ""Fuldaer road"" of the Via regia."
"54","Segment of the ""Kinzigstraße"", a segment of the via regia between Frankfurt/M. and Eisenach."
"56","The road between Haselünne and Wietmarschen via Teglingen, Geeste and Dalum is first attested in the 18th century. Its importance for earlier centuries is debatable; most of the traffic must have taken the route via the river crossing in Lingen."
"58","This road was a flood-free connection between Rudolstadt and Saalfeld."
"60","According to Bruns-Weczerka (1967) this road is the earlier road between Merseburg and Naumburg, which was later superseded by the road via Markröhlitz."
"62","This road was forbidden by the Ernestinians since the 1470s, however one can assume it was continued to be used."
"64","This leg of the road had to circumvent the Weißensee Obersee until 1704, when the lake was drained (Stadt Weißensee 1988, 255f.). In the 15th century, this road from Eisenach to Weißensee was blocked in order to force traffic to Erfurt (Eberhardt 1982)."
"66","Since 1515 contractually agreed upon compulsory road from Hamburg, Lübeck and Eisleben from the Harz to Thüringen. In a report to Guthmannshausen, the road via Nebra, Tauhardt and Guthmannshausen was referred to as the main road for wares originating from Lübeck, Braunschweig and Magdeburg and going to Franken. Course of the medieval 'copper road' (""Kupferstraße"")."
"68","Circumvention route of the safe conduct in Erfurt and Gotha, as proclaimed in a report to the safe conduct in Guthmannshausen from 1515. In the ""Acta die Landstraße von Weißensee nach Erfurt und die Sachsenburgische Straße betr. von 1522 - 72"" (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.) from 1522 the road is already declared deserted, due to the forced passage ('Straßenzwang') via Erfurt."
"70","Since 1515 contractually agreed upon compulsory road from Hamburg, Lübeck and Eisleben from the Harz to Thüringen. In the ""Acta die Landstraße von Weißensee nach Erfurt und die Sachsenburgische Straße betr. von 1522 - 72"" (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.) the main road from Sachsenburg to Sangerhausen is described as going via Ringleben. Shortly before the 30-year-war the Saxonian part of the road was blocked, which was supposed to force traffic to Southern Germany via Leipzig. The blockade was barely heeded due to the war, however."
"72","The direct route between Gotha and Herbsleben was the established route in 1515 that had to be taken if one did not cross the Thüringer forest on their way to Hessia. In the ""Acta die Landstraße von Weißensee nach Erfurt und die Sachsenburgische Straße betr. von 1522 - 72"" (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.) from 1522 the road is already declared deserted, due to the forced passage ('Straßenzwang') via Erfurt."
"74","According to a contract from 1515, whoever came from the north, passed the Harz and wanted to go to Crawinkel or Tambach, had to go via Erfurt with its staple."
"76","This route was used to save on the fees of safe conduct in Sangerhausen and Sachsenburg, as well as to circumvent Erfurt. The safe conduct in Eisleben was cheaper and the route continued on to Tauhardt and into the zone of safe conduct of Weimar, to continue on to the Thüringer Wald. Course of the medieval copper road ('Kupferstraße') (Gräfenthalstraße/Saalfeldsche Straße/Querstraße/Kreuzweg)."
"78","In the 16th century, the circumvention of the safe conduct in Sachsenburg and Weißensee via Kutzleben and Gebesee on the way to Erfurt was only allowed to wagoners from Nordhausen."
"80","Since the Havel was used as a mill race, water traffic was routed through the Jakob's ditch ('Jakobsgraben'). Since 1550 it has been complemented by the construction of a chamber lock in the town canal. "
"82","In 1548-50 a chamber lock was constructed in the town canal of Brandeburg, which complemented the water traffic in the Jakob's ditch ('Jakobsgraben'). The expansion of the canal and the lock had already begun in 1455, probably in connection with the staple in Brandenburg."
"84","""Beyond the Berliner mill dam there existed no water traffic to mention"" (Schich 1994, 54)."
"86","Southern circumvention of Erfurt's safe conduct according to a complaint from Erfurt."
"88","""Brücknerscher-"" or ""Ur-Rennsteig"". Already mentioned on a map of 1589 as ""Renstick"", which makes it the oldest mention of the Rennsteig on a map."
"90","Modern Rennsteig, determined in 1830 by officer Julius Plänckner from Gotha. Some segments can be traced until the 14th and 15th century. A report from 1597 shows that from then on at the latest the Rennsteig was seen as one connecting high road."
"92","Segment of the Rennsteig which is already mentioned and called as such in 1330 in the description of the Frankensteiner Wildbann."
"94","Segment of the Rennsteig that is already mentioned in records from 1039, 1143/44, 1227 and 1270, but only refered to as 'platea', a road. Also mentioned in 1330 in the description of the Frankensteiner Wildbann."
"96","""Stromelbe"", only navigable leg of the Elbe at Magdeburg. It was blocked by pileworks ('Pfahlwerke') in the 30-year-war and silted up. Only with the construction of the ""Roste""-dike until 1686 the Elbe was forced back into its Western leg."
"98","The marshy area of the ""langen wish"" was first made crossable with a causeway around 1400. In the 14th century, wagons must have taken a detour via Bodenstedt."
"100","The chamber lock in Calbe was first built in 1564."
"102","The chamber lock in Bernburg was first built in 1560."
"104","The chamber lock in Rothenburg was renewed in 1694, which indicates that it existed before."
"106","The Saale was navigable only from Naumburg, at least since 1700 there were too many mill runs and -dams ('Mühlenwehr') to the south of Naumburg that blocked the river."
"108","In 1150 a ""strata publica"" is mentioned, which is probably connected to the Klusdamm. The Klusdamm itself is first mentioned in 1479. It was well maintained in the following years, since it was a constantly dry passage through the Elbe lowland."
"110","Beyond Naumburg, the Saale river was mainly used for rafting lumber due to the many mill runs. In the Bronze Age it was surely navigated by boat."
"112","First evidence of navigation on the Unstrut in 1612, when mayor Sixtus Braun is granted an inheritance ship ('Erbschiff') on the Saale and Unstrut in a fief letter ('Lehnsbrief'). There were plans to improve on the navigability of the very shallow Unstrut and Gera, but these were blocked by the electoral prince of Saxony."
"114","The Weiße Elster was deep enough to navigate until the construction of mill runs in the High Middle Ages. It was surely used for rafting."
"116","In 1579-87 a rafting ditch ('Floßgraben') was channeled off at Krossen, in order to transport firewood to the salines in Teuditz and Kötzschau."
"118","An entry in a register of the margraves of Meißen refers to a fee that had to be paid for navigating the Pleiße; there was probably a regular supply transport for the town of Leipzig from the surroundings. The Pleiße was probably navigable from Rötha."
"120","The direct route between Hannover and Braunschweig via Peine probably only became significant after Hannover had become the residence of the dukes of Brunswick-Lüneburg (1636). Before, most of the traffic must have taken a detour through Hildesheim territory to the south, or north via Burgdorf."
"122","According to a 1688 report, the road via Dömitz was hard to travel on in wet weather conditions, especially in spring and autumn. Therefore, wagons took the more northerly road via the mill Findenwirunshier, where the toll that normally had to be paid in Dömitz was levied."
"124","The main road between Bremen and Wildeshausen must have gone through Delmenhorst since an agreement between the count of Delmenhorst and the town of Bremen from 1311. Travellers were sometimes stopped in Varrel and forced to travel via Delmenhorst. However, still in 1652, wagoners from Wildeshausen declared that the common road to Bremen went via Horstedt and Varrel."
"126","Due to the marshy terrain, heavier traffic took a detour via Kirch- and Sandhatten. The early modern post road circumvented both villages more to the north."
"128","The original road around the Zwischenahner Meer took the northern route. The more direct but difficult southern route via Zwischenahn is first attested as main road in the 17th century."
"130","Around Apen the road was in a bad condition and often flooded. The traffic between Bremen and East Frisia was therefore often handled via the waterways."
"132","This traveling route has been taken several times by Martin Luther, who traveled from Wittenberg to Borna either via Eilenburg or via Torgau – Grimma. He had to consider territorial borders, in this case the course of the Ernestinian borders around 1485 - 1547."
"134","In 1489 the Fien dam at the narrowest place of the Fien mire ('Fiener Bruch') is repaired, which means that traffic from Magdeburg to Berlin now starts to move via Ziesar."
"136","The course of the road from Erfurt to Weißensee via Stotternheim, Alpenstedt, Haßleben and Wundersleben is described in the ""Acta die Landstraße von Weißensee nach Erfurt und die Sachsenburgische Straße betr. von 1522 - 72"" (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.) "
