"ID","Comments_ID","Language","Description"
"2","12","DE","Auf der Karte von Westphalen von Le Coq (1796-1813) ist die Straße zwischen Heede und Rhede als ""nur bei trockenem Wetter zu gebrauchen"" gekennzeichnet."
"8","14","DE","Nach einem Protokoll aus 1690 gab es zwischen Salzwedel und Lübbow nur einen Fußsteig, und es wurde entschieden den Fußsteig zu einem Fahrweg auszubauen und eine Brücke zu errichten. Es ist unklar in wieweit dies dem Zustand im Spätmittelalter entspricht, oder ob die Straße einmal auch vom Frachtverkehr benutzt wurde und später verfallen war: für beide Möglichkeiten gibt es Belege. Jedenfalls war zu jeder Zeit die Wasserstraße zwischen Salzwedel und Lüchow eine wichtige Alternative für den Landverkehr."
"10","16","DE","Vermutlich wurde die direkte Verbindung zwischen Siek und Sandesneben über Schönberg erst üblich für den Fernverkehr im 17. Jh.; im Mittelalter muss der Verkehr haupsächlich die Straße über die Zollstelle Trittau benutzt haben."
"12","18","DE","Auf der Kurhannoversche Landesaufnahme (1764-1784) ist die Straße zwischen Escheburg und Schnakenbek über Geesthacht als ""Postweg im Winter nach Lauenburg"" gekennzeichnet. Im Sommer wurde eine nördlichere Strecke genommen, über Fahrendorf und and Krukow vorbei, Geesthacht umgehend."
"14","20","DE","Die Straße zwischen Iprump und Dingstede über Ganderkesee, Delmenhorst umgehend, war die Haupstrecke vor 1311. Auch später wurde die Straße benutzt wenn die Straße über Delmenhorst überschwemmt war."
"16","22","DE","Nach Aulepp (1975) eine im Hochmittelalter verwendete Trasse nach Norden aus Mühlhausen. Nach Born (2017) verlief hier der sogenannte Zellsche Marktstieg. Es handelte sich um einen für den Fußverkehr gedachten Stieg, der den Mühlhäuser Landgraben über eine hölzerne Brücke querte. 1611 wurde festgestellt, dass der Stieg illegal verbreitert wurde, sodass 1621 sämtliche hölzernen Stiege über den Mühlhäuser Landgraben abmontiert wurden (Born 2017, 22)."
"18","24","DE","Die Straße erhielt im Spätmittelalter mehr Bedeutung."
"20","26","DE","Diese Trasse hat ab dem Hoch- bis Spätmittelalter ihre größte Bedeutung. 1609 wird sie als Geleitsstraße nach Dingelstädt geführt."
"22","28","DE","Geleitsstraße von 1575."
"24","30","DE","Dieser Abschnitt der Straße rekonsturiert nach Eberhardt (1982), nach dem die westliche Route nach Tennstedt bis in jüngste Zeit versumpft war bzw. durch ein stehendes Gewässer unpassierbar war. Sperrung dieser Straße von Eisenach nach Weißensee im 15. Jh, um den Verkehr nach Erfurt zu zwingen."
"26","32","DE","Sperrung dieser Straße von Eisenach nach Weißensee im 15. Jh, um den Verkehr über Erfurt zu zwingen."
"30","36","DE","""Roter Steiger""; laut Nagel (2001) Aufgang in den Harz von Quedlinburg aus."
"32","38","DE","Historische Verbindung zwischen Quedlinburg und Hoym über die Wüstung Groß Orden nach Nagel (2001)."
"34","40","DE","Hochwasserfreier Umweg von Halle nach Merseburg."
"36","42","DE","Die Zollstelle in Altengottern zeigt, dass der alte Weinberg zwischen Mühlhausen und Langensalza bis ins 15. Jahrhundert nördlich umgangen wurde."
"38","44","DE","Nach Bahn (2002) handelt es sich hier um den früheren (frühmittelalterlichen) Verlauf der Via regia zwischen Erfurt und Naumburg."
"40","46","DE","Dieser Teil der Straße stammt aus dem 19. Jahrhundert und ist seither Teil der 'modernen' Via regia."
"42","48","DE","Seit vermutlich dem 13. Jahrhundert vorherrschender Zweig der Via regia."
"44","50","DE","Diese Straße wird bereits 1414 als ""Judenstraße"" genannt."
"46","34","DE","Nach Bruns-Weczerka 1967 wird diese Straße erst seit dem 16. Jahrhundert als Haupstraße genutzt. Seit 1450 bestand zwischen den Orten Edersleben und Oberröblingen ein Damm, der die Helmeüberquerung erleichterte und die Strecke attraktiver machte."
"48","52","DE","""Weinstraße"" oder ""Fuldaer Straße"" genannter Abschnitt der Via regia."
"50","54","DE","Teil der ""Kinzigstraße"", einem Abschnitt der Via regia zwischen Frankfurt/M. und Eisenach."
"52","56","DE","Die Straße zwischen Haselünne und Wietmarschen über Teglingen, Geeste und Dalum ist erstmals für das 18. Jh. bezeugt. Ihre Bedeutung für frühere Jahrhunderte ist ungeklart; das Hauptteil des Verkehrs muss die Strecke über den Flussübergang in Lingen genommen haben."
"54","58","DE","Diese Straße war eine überflutungsfreie Alternative zwischen Rudolstadt und Saalfeld."
"56","60","DE","Nach Bruns-Weczerka (1967) handelte es sich hier um die frühere Strecke zwischen Merseburg und Naumburg, erst später Abgelöst von der Strecke über Markröhlitz."
"58","62","DE","Diese Straße wurde 1470 von den Ernestinern verboten, allerdings kann davon ausgegangen werden, dass die Straße auch weiterhin genutzt wurde."
"60","64","DE","Dieser Straßenabschnitt musste bis 1704 den Weißenseer Obersee umgehen, der dann jedoch trockengelegt wurde (Stadt Weißensee 1998, 255f.). Sperrung dieser Straße von Eisenach nach Weißensee im 15. Jh, um den Verkehr über Erfurt zu zwingen (Eberhardt 1982)."
"62","66","DE","Seit 1515 vertraglich festgelegte Zwangsstraße von Lübeck, Hamburg und Eisleben über den Harz nach Thüringen. In einen Bericht nach Guthmannshausen heißt es, dass die Waren von Lübeck, Braunschweig und Magdeburg nach Franken jeher die Straße über Nebra, Tauhardt und Guthmannshausen genommen hätten.
Verlauf der mittelalterlichen Kupferstraße."
"64","68","DE","Umgehung der Geleite in Erfurt und Gotha, beschrieben in einem Bericht an den Geleitsmann in Guthmannshausen von 1515. 1522 heißt es bereits in der ""Acta die Landstraße von Weißensee nach Erfurt und die Sachsenburgische Straße betr. von 1522 - 72"" (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.), dass die Straße aufgrund des Straßenzwanges auf Erfurt brach lag."
"66","70","DE","Seit 1515 vertraglich festgelegte Zwangsstraße von Lübeck, Hamburg und Eisleben über den Harz nach Thüringen. In der ""Acta die Landstraße von Weißensee nach Erfurt und die Sachsenburgische Straße betr. von 1522 - 72"" (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.) wird die rechte Straße von Sachsenburg nach Sangerhausen über Ringleben beschrieben. Kurz vor dem Dreißigjährigen Krieg wurde der sächsische Teil der Straße gesperrt, was Verkehr nach Süddeutschland über Leipzig zwingen sollte. Durch den Krieg wurde diese Sperre jedoch kaum beachtet."
"68","72","DE","Die direkte Strecke zwischen Herbsleben und Gotha war seit 1515 diejenige die festgeschrieben war, wenn man auf direkten Wege nach Hessen fuhr, ohne den Thüringer Wald zu passieren. 1522 heißt es bereits in der ""Acta die Landstraße von Weißensee nach Erfurt und die Sachsenburgische Straße betr. von 1522 - 72"" (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.), dass die Straße aufgrund des Straßenzwanges auf Erfurt brach lag."
"70","74","DE","Gemäß einem Vertrag von 1515 musste wer aus dem Norden kam und den Harz passiert hatte und auf Crawinkel oder Tambach fuhr, Erfurt mit seiner Niederlage passieren."
"72","76","DE","Diese Strecke wurde befahren, um an den Geleiten Sangerhausen und Sachsenburg zu sparen, sowie um Erfurt zu umgehen. Das Geleit in Eisleben war günstiger und die Strecke verlief weiter über Tauhardt ins Weimarer Land, um von dort über den Thüringer Wald zu verlaufen. Ebenfalls Verlauf der mittelalterlichen Kupferstraße (Gräfenthalstraße/Saalfeldsche Straße/Querstraße/Kreuzweg)."
