"ID","Nodes_ID","Name","Continuation_From_ID","From","To","Description","Category","Date","Fixed_Day","Fixed_Month","Weekday","Before_After","Date_Depends_On","Start_Max","Start_Min","End_Min","End_Max"
"1","1828","","","1294","","St. Simeon & St. Judas","local","fixed","28","10","","","","","","3",""
"2","1828","","","1346","","Inventio Crucis (for wool and cloth)","local","fixed","3","5","","","","","-1","1",""
"3","1828","","","1422","","Sacramentum","local","movable","","","","","Sacramentum","","-1","1",""
"4","1828","","","1422","","Ascension Day","local","movable","","","","","Ascension","","-1","1",""
"5","1828","","","1465","","Sunday and Monday after the birth of St Mary. Mentioned by the town chronicler in 1465 to have been the new fair among the three fairs in the town","local","movable","8","9","Sunday","after","Fixed date","","0","1",""
"6","2148","","","1343","","St. Walburgis","local","fixed","1","5","","","","","","",""
"7","2148","","","1343","","St. Andreas","local","fixed","30","11","","","","","","",""
"8","2250","","","1294","","St. Victor","local","fixed","10","10","","","","","","",""
"9","2250","","","1424","","St. Walburgis","local","fixed","1","5","","","","","","",""
"10","2250","","","1424","","First Monday in September","local","movable","31","8","Monday","after","Fixed date","","","",""
"11","5421","","","1312","","Between Letare and Palm Sunday.","regional","movable","","","","","Letare","","","","14"
"12","5421","","","1312","","Sunday before St. Cornelius","regional","movable","14","9","Sunday","before","Fixed date","","","","14"
"13","6477","","","1294","1371","Fair on Tuesday after Pentecost","local","movable","","","Tuesday","after","Pentecost","","","",""
"14","6477","","","1351","1371","Fair on St. Remi","local","fixed","1","10","","","","","","",""
"15","6477","","","1351","1371","Fair on St. Barbara","regional","fixed","4","12","","","","","","",""
"17","6477","","14","1372","","Extension of the St. Remi fair to 16 days","regional","fixed","1","10","","","","","-7","7",""
"18","6477","","15","1372","","Extension of the St. Barbara fair to 16 days.","regional","fixed","4","12","","","","","-7","7",""
"19","6477","","13","1372","","Extension of the fair on Tuesday after Pentecost to 16 days.","regional","movable","","","Tuesday","after","Pentecost","","-7","7",""
"20","7458","","","1408","","St. Lucia (cattle)","local","fixed","13","12","","","","","-2","",""
"21","7458","","","1428","","Oculi","local","movable","","","","","Oculi","-4","-3","4","4"
"22","7458","","","1428","","All Souls’ day","local","fixed","2","11","","","","-4","-3","3","4"
"23","8000","","","1294","","Sunday after Invocavit","regional","movable","","","Sunday","after","Invocavit","","-7","7",""
"24","8000","","","1343","","St. Albinus","regional","fixed","22","6","","","","","-7","7",""
"25","8000","","","1343","","Sunday after St. Lambert","regional","movable","17","9","Sunday","after","Fixed date","","-7","7",""
"26","8879","","","1450","1464","St. Peter (horse fair), in and some time before 1464 held on 25 or 26 June.","local","fixed","25","6","","","","","","","1"
"28","8878","","","1395","","The fair on Sunday after Easter had been established well before 1395, when town privileges were granted to Buren. ","local","movable","","","","","Quasimodo","","","",""
"29","8878","","","1395","","The fair on St. Lambert's Mass had been established well before 1395, when town privileges were granted to Buren.","local","fixed","17","9","","","","","","",""
"30","1783","","","1294","","Elst had one fair from at least 1294/95 onward, on the Day of the Assumption of Mary. At least in the sixteenth century, this was a two-day horse fair. In 1521, the market did not take place due to war. ","local","fixed","15","8","","","","","-1","",""
"31","2396","","","1450","1455","The horse fair on Oculi Sunday came into existence before 1456. It was shifted to Thursday after Reminiscere in 1456. The duration of this fair is unknown. ","regional","movable","","","","","Oculi","","","",""
"32","2396","","","1450","1455","The cloth fair on Judica Sunday came into existence before 1456. It was shifted to Monday after Judica in 1456. The duration of this fair is unknown. ","regional","movable","","","","","Judica","","","",""
"33","2396","","","1456","","This cattle and horses fair was granted to Grave in 1456 by Arnold, duke of Guelders, on the request of the town council. ","local","fixed","26","4","","","","-3","-2","2","3"
"34","2396","","","1456","","This cattle and horses fair was granted to Grave in 1456 by Arnold, duke of Guelders, on the request of the town council.","local","fixed","6","11","","","","-3","-2","2","3"
"35","2396","","31","1456","","In 1456, the Oculi horse fair was moved to Thursday after Reminiscere, because according to the town council, trade should not take place on Fasting Sundays. The duration of this fair is unknown. ","local","movable","","","Thursday","after","Reminiscere","","","",""
"36","2396","","32","1456","","In 1456 the Judica cloth fair was moved to Monday after Judica, because according to the town council, trade should not take place on Fasting Sundays. The duration of this fair is unknown.","local","movable","","","Monday","after","Judica","","","",""
"37","5430","","","1294","","The fair on St. Walpurga came into existence before 1294/95. In the 16th century, it was extended with an oxen fair (next to the other oxen fair on St. Victor). The duration of this fair is unknown. ","regional","fixed","1","5","","","","","","",""
"38","5430","","","1294","","The fair on St. Michael's Day came into existence before 1294/95. The duration of the fair is unknown. ","local","fixed","29","9","","","","","","",""
"39","5430","","","1500","","The oxen fair on St. Victor was instituted in the sixteenth century. The duration of the fair is unknown. ","local","fixed","10","10","","","","","","",""
