"ID","Ref_Short","Ref_Long","Type"
"2","Bruns & Weczerka 1962","Bruns, Friedrich. Weczerka, Hugo. <cite>Hansische Handelsstraßen Bd. 1: Atlas</cite>. Köln/Graz, 1962.",NULL
"4","Bruns; Weczerka 1967","Bruns, Friedrich; Hugo Weczerka, &#60;cite&#62;Hansische Handelsstraßen Bd. 2: Textband&#60;/cite&#62; (Köln; Graz, 1967).","secondary"
"6","Gönnenwein 1939","Gönnenwein, Otto. &#60;cite&#62;Das Stapel- und Niederlagsrecht&#60;/cite&#62;. Quellen und Darstellungen zur hansischen Geschichte N.F. 11. (Weimar 1939)","secondary"
"28","Benders 2001","Benders, Jeroen F. &#60;q&#62;&#39;Item instituimus ibidem singulis annis nundinas&#39;. Fairs in the principality of Guelders, 1294-1543&#60;/q&#62;. In &#60;cite&#62;Fiere e mercati nella integrazione delle economie europee secc. XIII-XVIII&#60;/cite&#62; (Atti delle &#34;Settimane di Studi&#34; e altri Convegni; No. Serie II, no. 32), ed. by S. Cavaciocchi (Florence 2001), 645-667.","secondary"
"30","Rüthing 1987","Rüthing, Heinrich. &#60;q&#62;Beobachtungen zur Weserschiffahrt im 16. Jahrhundert&#60;/q&#62;. In Bachmann, Jutta, and Hartmann, Helmut (eds.). &#60;cite&#62;Schiffahrt - Handel - Häfen. Beiträge zur Geschichte der Schiffahrt auf Weser und Mittellandkanal&#60;/cite&#62; (Minden 1987), 75-92.",
"32","Vogtherr 2013","Vogtherr, Thomas, &#60;q&#62;Die Grafen von Holstein-Schaumburg als Städtegründer. Die Entstehung der Schaumburger Städte&#60;/q&#62;, in &#60;cite&#62;Schaumburg im Mittelalter&#60;/cite&#62;, ed. by Stefan Brüdermann, Schaumburger Studien 70 (Bielefeld, 2013), 325-351.","secondary"
"34","Weingarten 2013","Weingarten, Hendrik, &#60;q&#62;Mittelalterliche Wirtschaftsgeschichte Schaumburgs&#60;/q&#62;, in &#60;cite&#62;Schaumburg im Mittelalter&#60;/cite&#62;, ed. by Stefan Brüdermann, Schaumburger Studien 70 (Bielefeld, 2013), 265-275.","secondary"
"36","Wegner 1913","Wegner, Paul. &#60;q&#62;Die mittelalterliche Flußschiffahrt im Wesergebiet&#60;/q&#62;. &#60;cite&#62;Hansische Geschichtsblätter&#60;/cite&#62; 19 (1913), 93-161","secondary"
"38","Niemeyer 2012","Niemeyer, Manfred (ed.), &#60;cite&#62;Deutsches Ortsnamenbuch&#60;/cite&#62; (Berlin, 2012)","secondary"
"40","Engel 1982","Engel, Werner, &#60;q&#62;Joist Moers im Dienste des Landgrafen Moritz von Hessen. Ein Beitrag zu seiner späten Landmessertätigkeit und zugleich zur Schiffahrtsgeschichte der Fulda&#60;/q&#62;, &#60;cite&#62;Hessisches Jahrbuch für Landesgeschichte&#60;/cite&#62; 32 (1982), 165-173.",
