"ID","Literature_ID","Nodes_ID","Edges_ID","Pertains_To","Pages"
"30","28","2148",NULL,"fairs","pp. 646-649, 661-664"
"34","28","1828",NULL,"fairs","pp. 646-649, 661-664"
"36","28","2250",NULL,"fairs","pp. 646-649, 661-664"
"38","28","5421",NULL,"fairs","pp. 646-649, 661-664"
"40","28","6477",NULL,"fairs","pp. 646-649, 661-664"
"42","28","7458",NULL,"fairs","pp. 646-649, 661-664"
"44","28","8000",NULL,"fairs","pp. 646-649, 661-664"
"46","28","8879",NULL,"fairs","649-651, 661-664"
"48","28","8878",NULL,"fairs","649-651, 661-664"
"50","28","1783",NULL,"fairs","there 649-651, 661-664"
"52","28","2396",NULL,"fairs","there 649-651, 661-664"
"54","28","5430",NULL,"fairs","there 649-651, 661-665"
"56","28","7714",NULL,"fairs","there 649-651, 661-665"
"58","28","8701",NULL,"fairs","pp. 649-651, 661-663, 665"
"60","6","3852",NULL,"tolls","18"
"62","6","3888",NULL,"tolls","19-21"
"64","6","3888",NULL,"staple","19-21, 97-101, 143-146, 192-193, 220"
"66","6","1611",NULL,"staple","20, 33"
"68","6","517",NULL,"staple","29"
"70","6","981",NULL,"staple","29, 89-92, 171, 226-227"
"72","6","1988",NULL,"staple","29, 85, 89-92, 171-172, 204-206"
"74","6","2002",NULL,"staple","29, 96"
"76","6","2409",NULL,"staple","29"
"78","6","4220",NULL,"staple","29, 89, 171"
"80","6","4342",NULL,"staple","29, 94"
"82","6","5574",NULL,"staple","29, 84"
"84","6","7806",NULL,"staple","29"
"86","6","8281",NULL,"staple","29"
"88","6","5949",NULL,"staple","30, 94-95, 166"
"90","6","8875",NULL,"staple","30"
"92","6","1052",NULL,"staple","31"
"94","6","6425",NULL,"staple","31, 82-83"
"96","6","3500",NULL,"staple","32"
"98","6","6092",NULL,"staple","32, 126-129"
"100","6","6092",NULL,"fairs","32"
"102","6","1521",NULL,"staple","33-34, 38, 47-48, 63, 65, 140-141"
"104","6","5623",NULL,"fairs","34"
"106","6","5623",NULL,"staple","34"
"108","6","7321",NULL,"staple","34, 71-72, 162"
"110","6","7321",NULL,"tolls","34"
"112","6","3344",NULL,"staple","35"
"114","6","1036",NULL,"staple","37, 46-63, 137"
"116","6","565",NULL,"staple","54"
