"ID","Parent_ID","Name","Alternative_Name","Latitude","Longitude","Geonames_ID","Ready","Is_Settlement","Settlement_From","Settlement_To","Settlement_Description","Is_Town","Town_From","Town_To","Town_Description","Is_Toll","Toll_From","Toll_To","Toll_Description","Is_Staple","Staple_From","Staple_To","Staple_Duration_Of_Stay","Staple_Description","Is_Fair","Fair_From","Fair_To","Fair_Description","Is_Ferry","Ferry_From","Ferry_To","Ferry_Description","Is_Bridge","Bridge_From","Bridge_To","Bridge_Description","Is_Harbour","Harbour_From","Harbour_To","Harbour_Description","Is_Lock","Lock_From","Lock_To","Lock_Description"
"0","","Göttingen","Gutingi; Guthingen; Guthinge; Gutinge; Gutingen; Guttingen; Gudingin; Gotinge; Gotingen; Ghotingen; Gothinge; Gottinghe; Gottingen","51.532781","9.935188","2918632","y","y","953","","First mentioned in a donation charter of Emperor Otto I to the monastery of St Maurice in Magdeburg.","y","1230","","It is unknown when exactly the town rights were acquired, probably in the early 13th century. First mention as ""civitas"" around 1230.","y","953","","Fee for safe conduct for commodities moved through town, owned by the Duke of Brunswick, and toll for all commodities sold and bought in Göttingen, except those intended for the nobility and clerics, perishables and retail. Already in 1380, the height of the toll was defined by the civic council. Extensive toll registers exist from the first half of the 15th century. The toll was levied at the town gates.","","","","","","y","1380","","In Göttingen trade regulations of the year 1398, four fairs are mentioned, taking place on St Walpurga, Corpus Christi, St James and St Simon and Juda. The Corpus Christi fair was founded in 1380.","","","","","","","","","","","","","","","",""
"1","","Northeim","Northeim; Nordheim; Northeheim; Northeimensi; Northeym; Northemensis; Norttem; Northem; Nortem; Northum; Nordtheimb; Northeimb","51.705568","10.00041","2861814","y","y","780","","Northeim probably originated in Frankish times. It is first mentioned around 780-802.","y","1252","","The settlement acquired town privileges in 1252 from Duke Otto the Child. The town privileges of Göttingen were granted in 1266.","y","1141","","The Benedictine monastery acquired toll privileges in 1141. In 1492, the town received permission from Duke Wilhelm of Brunswick to levy a road toll for 20 years to fund the improvement of the road to Hammenstedt. It was also levied at the other roads leading out of town and remained in existence after 20 years. In 1502, a ducal road toll was added by Duke Erich, which was levied at the town gates as well.","","","","","","y","","","Three three-day fairs are mentioned in Northeim in 1336, ""as they have taken place since old times"" on the Sundays after St John, St Bartholomew and St Andrew. It is unclear when these fairs were founded, but probably not later than the year the settlement received the Göttingen town privileges in 1266. After 1336, a fourth fair on Sunday after Estomihi was added.","","","","","","","","","","","","","","","",""
"3","","Nörten","Nörten-Hardenberg; Norhtunon; Norzunun; Northun; Northunun; Nortzun; Nortun; Northune; Norzun; Nortunensis; Nortuni; Nortene; Northene; Nortunis; Northunensi; Nortten; Nörthen","51.634895","9.938448","2861817","y","y","1031","","Nörten was the seat of the law court of the nearby castle Hardenberg, which belonged to the archbishop of Mainz.","y","1360","","Town, market and fortification privileges were granted in 1360, but from the late 15th century onwards, Nörten is usually referred to as borough ('flecken').","y","1357","","A toll is first mentioned in 1357, then already existing for a while. In the town privileges of 1360, it is determined that the archbishop of Mainz had the right to levy a toll of 1 shilling in the Göttingen currency of each horse pulling a wagon or cart through town. In 1478, an additional road toll for the maintenance of the street is installed.","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","Angerstein","Angersten; Aggerstein; Angersteyna; Anngerstainn","51.617103","9.935714","7731776","y","y","1082","","The place was first mentioned in 1082.","","","","","y","1394","","Insignificant toll, first mentioned in 1394.","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","Bovenden","Bobbenzunon; Bobbontenini; Bobentunon; Bobbentun; Bovendten; Bobbantun; Bouenten; Boventhen; Bovente; Boventen; Bobenczen","51.588786","9.921964","2945726","y","y","949","","First mentioned in 949. In the 16th century the settlement became a borough ('Flecken').","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","","Weende","Uunide; Winithi; Winnithi; Winithe; Winethe; Winethen; Winede; Venede; Wenedhe; Winedhe; Wenede; Wende; Wenden; Wehnde; Wehende","51.562622","9.932145","2813436","y","y","966","","First mentioned in 966 as 'Uuinide'.","","","","","y","1504","1512","A new toll station of the dukes of Brunswick-Lüneburg was installed in Weende in 1501, but destroyed by Göttingen citizens. Between 1504 and 1512, a toll was effectively levied in Weende.","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","3","","","51.6272","9.9266","","y","","","","","","","","","","","","","","","","","","","","","","","","","","y","1055","","The often wet valley of the Leine is relatively narrow south of Nörten, and was therefore often used as a river crossing point. A bridge is already mentioned in 1055.","","","","","","","",""
"9","","Parensen","Peranhuson; Perranhusun; Perranhus; Perhusun; Pernhusen; Perrenhusen; Parenhosen; Parhusin; Parnhusen; Parenhusen; Parnnhussenn; Parnhußen; Parhusen; Parnhaussen; Paarensen","51.615277","9.90484","2855435","y","y","990","","First mentioned in 990.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","Harste","Hersithi; Heristi; Hersiti; Hiristi; Heriste; Herste; Hersthe; Harsta; Harst","51.600273","9.858585","2910271","y","y","822","","First mentioned between 822 and 826. There existed a moated castle of the dukes of Brunswick here, which was first mentioned in 1294.","","","","","y","1413","","In 1413, the duke of Brunswick leased the toll and safe conduct in Harste and Göttingen to Albrecht Lange.","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","Barterode","Bertolderoth; Bertoldingerothe; Bertolderode; Berterode","51.548935","9.775317","2952373","y","y","1093","","The place was first mentioned in 1093.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
