"ID","Nodes_ID","Year","Inhabitants"
"8","0","1300","8"
"10","0","1400","5"
"12","0","1500","7"
"14","0","1550","7"
"16","0","1600","7"
"18","0","1650","5"
"20","50","1300","2"
"22","50","1400","3"
"24","50","1500","7"
"26","50","1550","5"
"28","50","1600","4"
"30","50","1650","4"
"32","65","1300","18"
"34","65","1400","10"
"36","65","1500","18"
"38","65","1550","20"
"40","65","1600","23"
"42","65","1650","19"
"44","68","1300","2"
"46","68","1400","1"
"48","68","1500","2"
"50","68","1550","3"
"52","68","1600","6"
"54","68","1650","5"
"56","69","1300","4"
"58","69","1400","4"
"60","69","1500","5"
"62","69","1550","6"
"64","69","1600","7"
"66","69","1650","7"
"68","72","1300","3"
"70","72","1400","2"
"72","72","1500","3"
"74","72","1550","4"
"76","72","1600","5"
"78","72","1650","4"
"80","132","1300","0"
"82","132","1400","1"
"84","132","1500","1"
"86","132","1550","1"
"88","132","1600","1"
"90","132","1650","1"
"104","186","1300","1"
"106","186","1400","3"
"108","186","1500","3"
"110","186","1550","3"
"112","186","1600","4"
"114","186","1650","5"
"116","244","1300","3"
"118","244","1400","2"
"120","244","1500","7"
"122","244","1550","6"
"124","244","1600","7"
"126","244","1650","9"
"128","250","1300","1"
"130","250","1400","3"
"132","250","1500","12"
"134","250","1550","27"
"136","250","1600","60"
"138","250","1650","104"
"140","253","1300","3"
"142","253","1400","2"
"144","253","1500","3"
"146","253","1550","3"
"148","253","1600","3"
"150","253","1650","3"
"152","258","1300","2"
"154","258","1400","1"
"156","258","1500","2"
"158","258","1550","3"
"160","258","1600","5"
"162","258","1650","3"
"164","266","1300","1"
"166","266","1400","1"
"168","266","1500","2"
"170","266","1550","3"
"172","266","1600","3"
"174","266","1650","4"
"176","268","1300","7"
"178","268","1400","15"
"180","268","1500","30"
"182","268","1550","38"
"184","268","1600","47"
"186","268","1650","56"
"188","272","1300","2"
"190","272","1400","1"
"192","272","1500","1"
"194","272","1550","1"
"196","272","1600","1"
"198","272","1650","1"
"200","296","1300","2"
"202","296","1400","3"
"204","296","1500","6"
"206","296","1550","5"
"208","296","1600","7"
"210","296","1650","7"
"212","317","1300","2"
"214","317","1400","1"
"216","317","1500","1"
"218","317","1550","1"
"220","317","1600","2"
"222","317","1650","2"
"224","322","1300","2"
"226","322","1400","1"
"228","322","1500","1"
"230","322","1550","1"
"232","322","1600","2"
"234","322","1650","3"
"236","355","1300","2"
"238","355","1400","1"
"240","355","1500","1"
"242","355","1550","1"
"244","355","1600","2"
"246","355","1650","2"
"248","403","1300","8"
"250","403","1400","5"
"252","403","1500","7"
"254","403","1550","9"
"256","403","1600","12"
"258","403","1650","11"
"260","476","1300","3"
"262","476","1400","5"
"264","476","1500","5"
"266","476","1550","5"
"268","476","1600","5"
"270","476","1650","4"
"272","479","1300","1"
"274","479","1400","1"
"276","479","1500","2"
"278","479","1550","2"
"280","479","1600","2"
"282","479","1650","3"
"284","485","1300","2"
"286","485","1400","1"
"288","485","1500","1"
"290","485","1550","1"
"292","485","1600","2"
"294","485","1650","2"
"296","565","1300","1"
"298","565","1400","1"
"300","565","1500","1"
"302","565","1550","1"
"304","565","1600","2"
"306","565","1650","2"
"308","573","1300","0"
"310","573","1400","0"
"312","573","1500","1"
"314","573","1550","1"
"316","573","1600","1"
"318","573","1650","1"
"320","579","1300","4"
"322","579","1400","5"
"324","579","1500","9"
"326","579","1550","9"
"328","579","1600","10"
"330","579","1650","23"
"332","586","1300","2"
"334","586","1400","1"
"336","586","1500","3"
"338","586","1550","3"
"340","586","1600","4"
"342","586","1650","4"
"344","627","1300","2"
"346","627","1400","1"
"348","627","1500","2"
"350","627","1550","2"
"352","627","1600","2"
"354","627","1650","3"
"356","652","1300","1"
"358","652","1400","1"
"360","652","1500","2"
"362","652","1550","2"
"364","652","1600","3"
"366","652","1650","3"
"368","679","1300","2"
"370","679","1400","1"
"372","679","1500","1"
"374","679","1550","2"
"376","679","1600","2"
"378","679","1650","2"
"380","752","1300","1"
"382","752","1400","2"
"384","752","1500","3"
"386","752","1550","4"
"388","752","1600","5"
"390","752","1650","4"
"392","755","1300","1"
"394","755","1400","1"
"396","755","1500","1"
"398","755","1550","1"
"400","755","1600","1"
"402","755","1650","2"
"404","818","1300","5"
"406","818","1400","3"
"408","818","1500","3"
"410","818","1550","3"
"412","818","1600","4"
"414","818","1650","5"
"416","928","1300","1"
"418","928","1400","2"
